DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Summary Level,State,State FIPS,Insured Males 18-25,Noninsured Males 18-25,Females 18-25 with Insurance,Females 18-25 without insurance
312 - SYNCOPE & COLLAPSE,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,AL - Birmingham,35,"16,342.45","4,249.57","3,416.88",40,AL,1,"173,849","58,849","188,498","48,144"
312 - SYNCOPE & COLLAPSE,20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,AK - Anchorage,37,"23,564.29","6,190.16","5,050.64",40,AK,2,"26,917","12,275","25,692","8,152"
312 - SYNCOPE & COLLAPSE,30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,AZ - Mesa,46,"28,515.65","4,582.69","3,332.39",40,AZ,4,"233,098","92,136","245,929","72,752"
312 - SYNCOPE & COLLAPSE,40134,ARKANSAS HEART HOSPITAL,1701 S SHACKLEFORD ROAD,LITTLE ROCK,AR,72211,AR - Little Rock,29,"11,988.34","3,765.37","2,694.34",40,AR,5,"101,489","40,199","105,642","34,898"
948 - SIGNS & SYMPTOMS W/O MCC,50761,PROVIDENCE TARZANA MEDICAL CENTER,18321 CLARK STREET,TARZANA,CA,91356,CA - Los Angeles,21,"38,851.04","4,739.71","3,988.09",40,CA,6,"1,458,114","515,578","1,511,793","403,457"
948 - SIGNS & SYMPTOMS W/O MCC,60114,PARKER ADVENTIST HOSPITAL,9395 CROWN CREST BLVD,PARKER,CO,80138,CO - Denver,11,"25,463.72","4,412.00","2,698.54",40,CO,8,"199,090","55,076","203,107","41,910"
948 - SIGNS & SYMPTOMS W/O MCC,70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",100 GRAND STREET,NEW BRITAIN,CT,6050,CT - Hartford,32,"13,385.00","5,261.87","4,366.18",40,CT,9,"145,369","25,759","149,262","17,433"
948 - SIGNS & SYMPTOMS W/O MCC,90006,PROVIDENCE HOSPITAL,1150 VARNUM ST NE,WASHINGTON,DC,20017,DC - Washington,30,"13,303.80","5,738.56","4,913.76",40,DC,11,"31,771","3,712","42,265","2,042"
948 - SIGNS & SYMPTOMS W/O MCC,80001,"CHRISTIANA CARE HEALTH SERVICES, INC.",4755 OGLETOWN-STANTON ROAD,NEWARK,DE,19718,DE - Wilmington,132,"12,466.03","5,188.62","4,326.87",40,DE,10,"37,479","6,340","40,390","4,704"
948 - SIGNS & SYMPTOMS W/O MCC,100299,LAKEWOOD RANCH MEDICAL CENTER,8330 LAKEWOOD RANCH BOULEVARD,BRADENTON,FL,34202,FL - Bradenton,17,"15,430.76","3,600.23","2,745.88",40,FL,12,"580,489","289,512","624,879","235,730"
948 - SIGNS & SYMPTOMS W/O MCC,110226,DEKALB MEDICAL CENTER AT HILLANDALE,2801 DEKALB MEDICAL PARKWAY,LITHONIA,GA,30058,GA - Atlanta,11,"13,882.72","4,132.00","3,211.63",40,GA,13,"332,222","150,431","365,087","127,014"
312 - SYNCOPE & COLLAPSE,120027,HAWAII MEDICAL CENTER WEST,91-2141 FORT WEAVER ROAD,EWA BEACH,HI,96706,HI - Honolulu,27,"17,537.55","5,971.22","4,472.70",40,HI,15,"52,312","7,891","53,557","5,430"
948 - SIGNS & SYMPTOMS W/O MCC,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,3100 CHANNING WAY,IDAHO FALLS,ID,83404,ID - Idaho Falls,24,"11,480.16","4,217.04","3,559.37",40,ID,16,"57,401","19,836","58,865","16,575"
948 - SIGNS & SYMPTOMS W/O MCC,140290,ST ALEXIUS MEDICAL CENTER,1555 N BARRINGTON RD,HOFFMAN ESTATES,IL,60194,IL - Elgin,20,"21,042.30","4,151.15","3,503.45",40,IL,17,"482,287","134,031","515,428","93,635"
948 - SIGNS & SYMPTOMS W/O MCC,150163,SAINT CATHERINE REGIONAL HOSPITAL,2200  MARKET ST,CHARLESTOWN,IN,47111,KY - Louisville,20,"8,011.80","3,798.90","3,184.30",40,IN,18,"255,338","74,975","266,344","58,550"
948 - SIGNS & SYMPTOMS W/O MCC,160146,ST LUKES REGIONAL MEDICAL CENTER,2720 STONE PARK BOULEVARD,SIOUX CITY,IA,51104,IA - Sioux City,11,"13,234.09","4,700.54","3,622.18",40,IA,19,"138,433","22,195","136,977","16,890"
948 - SIGNS & SYMPTOMS W/O MCC,170185,SAINT LUKE'S SOUTH HOSPITAL,12300 METCALF AVENUE,OVERLAND PARK,KS,66213,MO - Kansas City,19,"25,044.47","3,563.94","2,789.42",40,KS,20,"118,714","29,476","117,297","24,395"
948 - SIGNS & SYMPTOMS W/O MCC,180141,UNIVERSITY OF LOUISVILLE HOSPITAL,530 SOUTH JACKSON STREET,LOUISVILLE,KY,40202,KY - Louisville,27,"20,372.92","6,436.51","4,555.29",40,KY,21,"160,136","47,577","167,401","38,585"
948 - SIGNS & SYMPTOMS W/O MCC,190183,LEONARD J CHABERT MEDICAL CENTER,1978 INDUSTRIAL BLVD,HOUMA,LA,70363,LA - Houma,12,"7,948.75","4,890.41","3,761.08",40,LA,22,"157,150","66,874","178,096","53,227"
948 - SIGNS & SYMPTOMS W/O MCC,200052,NORTHERN MAINE MEDICAL CENTER,194 E MAIN STREET,FORT KENT,ME,4743,ME - Bangor,30,"9,869.43","6,237.33","5,568.80",40,ME,23,"46,375","10,982","48,145","7,532"
312 - SYNCOPE & COLLAPSE,210060,FORT WASHINGTON HOSPITAL,11711 LIVINGSTON ROAD,FORT WASHINGTON,MD,20744,DC - Washington,36,"6,394.11","6,010.47","5,043.69",40,MD,24,"229,283","43,452","240,337","33,030"
312 - SYNCOPE & COLLAPSE,220175,METROWEST MEDICAL CENTER,115 LINCOLN STREET,FRAMINGHAM,MA,1701,MA - Boston,148,"9,441.00","5,276.85","4,267.43",40,MA,25,"318,098","24,420","332,676","16,072"
312 - SYNCOPE & COLLAPSE,230277,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSH,MI,48382,MI - Pontiac,44,"14,768.63","4,746.31","3,919.27",40,MI,26,"403,180","94,184","419,547","69,359"
312 - SYNCOPE & COLLAPSE,240210,HEALTHEAST ST JOHN'S HOSPITAL,1575 BEAM AVENUE,MAPLEWOOD,MN,55109,MN - St. Paul,96,"15,490.65","4,755.38","3,794.01",40,MN,27,"217,254","36,302","222,793","25,112"
312 - SYNCOPE & COLLAPSE,250141,BAPTIST MEMORIAL HOSPITAL DESOTO,7601 SOUTHCREST DR,SOUTHAVEN,MS,38671,TN - Memphis,92,"17,163.78","4,505.73","3,568.90",40,MS,28,"100,122","48,272","112,631","39,120"
312 - SYNCOPE & COLLAPSE,260210,ST ALEXIUS HOSPITAL,3933 S BROADWAY,SAINT LOUIS,MO,63118,MO - St. Louis,14,"16,113.21","4,824.57","3,441.71",40,MO,29,"218,737","67,102","234,572","54,658"
312 - SYNCOPE & COLLAPSE,270051,KALISPELL REGIONAL MEDICAL CENTER,310 SUNNYVIEW LANE,KALISPELL,MT,59901,MT - Missoula,19,"9,988.36","4,324.31","3,553.15",40,MT,30,"36,441","13,874","36,595","10,462"
312 - SYNCOPE & COLLAPSE,280130,ALEGENT HEALTH LAKESIDE HOSPITAL,16901 LAKESIDE HILLS CT,OMAHA,NE,68130,NE - Omaha,55,"17,851.70","3,894.74","2,916.58",40,NE,31,"76,596","17,300","77,384","14,400"
312 - SYNCOPE & COLLAPSE,290053,SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS,8280 W WARM SPRINGS ROAD,LAS VEGAS,NV,89113,NV - Las Vegas,15,"42,525.33","4,567.06","3,325.80",40,NV,32,"85,375","38,905","90,251","32,242"
312 - SYNCOPE & COLLAPSE,300029,PORTSMOUTH REGIONAL HOSPITAL,333 BORTHWICK AVE,PORTSMOUTH,NH,3801,NH - Manchester,30,"16,907.33","4,594.16","3,435.50",40,NH,33,"53,219","10,318","54,275","8,319"
312 - SYNCOPE & COLLAPSE,310119,UMDNJ UNIVERSITY HOSPITAL,150 BERGEN ST,NEWARK,NJ,7103,NJ - Newark,44,"38,598.72","9,314.88","8,522.43",40,NJ,34,"314,748","82,206","319,177","61,452"
312 - SYNCOPE & COLLAPSE,320083,HEART HOSPITAL OF NEW MEXICO,504 ELM STREET NE,ALBUQUERQUE,NM,87102,NM - Albuquerque,23,"18,914.39","3,907.00","2,931.00",40,NM,35,"69,903","33,233","73,194","26,623"
948 - SIGNS & SYMPTOMS W/O MCC,330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,NY,11691,NY - East Long Island,32,"16,244.43","9,081.68","8,272.06",40,NY,36,"816,499","159,157","863,164","115,886"
948 - SIGNS & SYMPTOMS W/O MCC,340173,"WAKEMED, CARY HOSPITAL",1900 KILDARE FARM ROAD,CARY,NC,27511,NC - Raleigh,15,"18,849.66","3,826.40","3,224.80",40,NC,37,"343,969","122,072","370,747","97,720"
948 - SIGNS & SYMPTOMS W/O MCC,350019,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201,ND - Grand Forks,19,"9,342.78","4,600.73","3,715.47",40,ND,38,"39,054","6,446","36,083","5,303"
948 - SIGNS & SYMPTOMS W/O MCC,360348,DUBLIN METHODIST HOSPITAL,7500 HOSPITAL AVENUE,DUBLIN,OH,43016,OH - Columbus,12,"11,211.91","3,968.83","2,709.16",40,OH,39,"443,929","100,999","470,101","71,334"
948 - SIGNS & SYMPTOMS W/O MCC,370202,SOUTHCREST HOSPITAL,8801 SOUTH 101ST EAST AVENUE,TULSA,OK,74133,OK - Tulsa,25,"18,390.24","4,366.12","3,293.56",40,OK,40,"130,796","58,477","138,372","48,006"
948 - SIGNS & SYMPTOMS W/O MCC,380090,BAY AREA HOSPITAL,1775 THOMPSON ROAD,COOS BAY,OR,97420,OR - Eugene,29,"11,535.51","5,998.93","5,103.10",40,OR,41,"140,917","40,669","144,999","33,178"
948 - SIGNS & SYMPTOMS W/O MCC,390304,ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,PHILA,PA,19128,PA - Philadelphia,18,"14,909.66","4,464.44","3,840.88",40,PA,42,"515,159","97,160","538,569","72,737"
948 - SIGNS & SYMPTOMS W/O MCC,410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK,RI,2886,RI - Providence,17,"25,670.64","5,268.64","3,639.58",40,RI,44,"47,961","9,536","51,249","7,877"
948 - SIGNS & SYMPTOMS W/O MCC,420098,WACCAMAW COMMUNITY HOSPITAL,4070 HIGHWAY 17 BY-PASS,MURRELLS INLET,SC,29576,SC - Charleston,15,"12,359.26","3,437.26","2,615.66",40,SC,45,"169,817","59,090","182,617","48,861"
948 - SIGNS & SYMPTOMS W/O MCC,430027,SANFORD USD MEDICAL CENTER,1305 W 18TH ST  PO BOX 5039,SIOUX FALLS,SD,57117,SD - Sioux Falls,48,"19,043.39","4,356.08","3,513.08",40,SD,46,"32,991","9,001","32,975","7,176"
948 - SIGNS & SYMPTOMS W/O MCC,440192,WHITE COUNTY COMMUNITY HOSPITAL,401 SEWELL DR,SPARTA,TN,38583,TN - Nashville,16,"13,381.81","4,652.87","3,458.37",40,TN,47,"232,905","72,655","254,420","54,176"
948 - SIGNS & SYMPTOMS W/O MCC,670060,TEXAS REGIONAL MEDICAL CENTER AT SUNNYVALE,231 SOUTH COLLINS ROAD,SUNNYVALE,TX,75182,TX - Dallas,11,"28,873.09","7,663.09","6,848.54",40,TX,48,"848,005","481,716","883,646","418,602"
948 - SIGNS & SYMPTOMS W/O MCC,460047,ST MARKS HOSPITAL,1200 EAST 3900 SOUTH,SALT LAKE CITY,UT,84124,UT - Salt Lake City,15,"12,681.73","3,858.13","3,256.53",40,UT,49,"130,500","33,241","135,511","28,261"
948 - SIGNS & SYMPTOMS W/O MCC,470005,RUTLAND REGIONAL MEDICAL CENTER,160 ALLEN ST,RUTLAND,VT,5701,VT - Burlington,18,"13,390.00","5,456.83","4,705.72",40,VT,50,"30,716","3,406","29,822","2,458"
948 - SIGNS & SYMPTOMS W/O MCC,490126,LEWISGALE HOSPITAL ALLEGHANY,ONE ARH LANE - PO BOX 7,LOW MOOR,VA,24457,VA - Roanoke,20,"14,454.45","3,874.00","3,139.80",40,VA,51,"301,299","80,062","326,920","65,758"
948 - SIGNS & SYMPTOMS W/O MCC,500150,LEGACY SALMON CREEK MEDICAL CENTER,2211 NE 139TH STREET,VANCOUVER,WA,98686,OR - Portland,12,"17,195.08","4,971.75","4,322.08",40,WA,53,"251,603","76,275","257,711","59,789"
948 - SIGNS & SYMPTOMS W/O MCC,510071,BLUEFIELD REGIONAL MEDICAL CENTER,500 CHERRY ST,BLUEFIELD,WV,24701,VA - Roanoke,20,"7,794.75","4,032.30","3,411.30",40,WV,54,"66,367","19,536","66,645","16,120"
948 - SIGNS & SYMPTOMS W/O MCC,520177,FROEDTERT MEM LUTHERAN HSPTL,9200 W WISCONSIN AVE,MILWAUKEE,WI,53226,WI - Milwaukee,73,"14,958.39","6,258.61","5,579.38",40,WI,55,"230,742","47,132","239,958","34,092"
948 - SIGNS & SYMPTOMS W/O MCC,530012,WYOMING MEDICAL CENTER,1233 EAST 2ND ST,CASPER,WY,82601,WY - Casper,19,"12,021.42","6,192.84","3,580.57",40,WY,56,"22,681","6,610","21,497","5,044"
312 - SYNCOPE & COLLAPSE,10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,AL - Birmingham,16,"13,745.75","4,013.00","3,105.25",40,AL,1,"173,849","58,849","188,498","48,144"
948 - SIGNS & SYMPTOMS W/O MCC,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,12,"11,610.83","8,464.66","7,995.66",40,AK,2,"26,917","12,275","25,692","8,152"
312 - SYNCOPE & COLLAPSE,30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,AZ - Mesa,23,"22,419.65","6,359.04","3,658.69",40,AZ,4,"233,098","92,136","245,929","72,752"
312 - SYNCOPE & COLLAPSE,40119,WHITE RIVER MEDICAL CENTER,1710 HARRISON STREET,BATESVILLE,AR,72503,AR - Little Rock,29,"19,396.86","4,728.24","3,410.00",40,AR,5,"101,489","40,199","105,642","34,898"
948 - SIGNS & SYMPTOMS W/O MCC,50757,ALVARADO HOSPITAL MEDICAL CENTER,6655 ALVARADO ROAD,SAN DIEGO,CA,92120,CA - San Diego,11,"17,830.27","4,820.81","4,000.45",40,CA,6,"1,458,114","515,578","1,511,793","403,457"
948 - SIGNS & SYMPTOMS W/O MCC,60113,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,7700 S BROADWAY,LITTLETON,CO,80122,CO - Denver,42,"29,934.02","4,147.80","3,118.04",40,CO,8,"199,090","55,076","203,107","41,910"
948 - SIGNS & SYMPTOMS W/O MCC,70027,MANCHESTER MEMORIAL HOSPITAL,71 HAYNES ST,MANCHESTER,CT,6040,CT - Hartford,15,"12,300.06","4,344.53","3,592.00",40,CT,9,"145,369","25,759","149,262","17,433"
948 - SIGNS & SYMPTOMS W/O MCC,90005,SIBLEY MEMORIAL HOSPITAL,5255 LOUGHBORO RD NW,WASHINGTON,DC,20016,DC - Washington,13,"14,307.15","4,075.23","3,294.00",40,DC,11,"31,771","3,712","42,265","2,042"
312 - SYNCOPE & COLLAPSE,80007,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,19958,MD - Salisbury,40,"17,697.40","4,593.75","3,423.30",40,DE,10,"37,479","6,340","40,390","4,704"
948 - SIGNS & SYMPTOMS W/O MCC,100296,DOCTORS HOSPITAL INC,5000 UNIVERSITY DR,CORAL GABLES,FL,33146,FL - Miami,14,"40,913.14","4,522.57","3,799.42",40,FL,12,"580,489","289,512","624,879","235,730"
948 - SIGNS & SYMPTOMS W/O MCC,110215,PIEDMONT FAYETTE HOSPITAL,1255 HIGHWAY 54 WEST,FAYETTEVILLE,GA,30214,GA - Atlanta,19,"20,070.73","3,717.68","2,897.05",40,GA,13,"332,222","150,431","365,087","127,014"
312 - SYNCOPE & COLLAPSE,120026,PALI MOMI MEDICAL CENTER,98-1079 MOANALUA ROAD,AIEA,HI,96701,HI - Honolulu,19,"16,100.05","5,273.52","4,386.57",40,HI,15,"52,312","7,891","53,557","5,430"
948 - SIGNS & SYMPTOMS W/O MCC,130013,SAINT ALPHONSUS MEDICAL CENTER - NAMPA,1512 TWELFTH AVENUE ROAD,NAMPA,ID,83686,ID - Boise,16,"11,387.50","4,086.50","3,314.25",40,ID,16,"57,401","19,836","58,865","16,575"
948 - SIGNS & SYMPTOMS W/O MCC,140289,ANDERSON HOSPITAL,6800 STATE ROUTE 162,MARYVILLE,IL,62062,MO - St. Louis,21,"14,343.14","3,705.42","2,899.90",40,IL,17,"482,287","134,031","515,428","93,635"
948 - SIGNS & SYMPTOMS W/O MCC,150162,FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS,8111 S EMERSON AVE,INDIANAPOLIS,IN,46237,IN - Indianapolis,19,"16,344.36","4,171.63","3,283.00",40,IN,18,"255,338","74,975","266,344","58,550"
948 - SIGNS & SYMPTOMS W/O MCC,160117,THE FINLEY HOSPITAL,350 NORTH GRANDVIEW AVENUE,DUBUQUE,IA,52001,IA - Dubuque,19,"11,343.10","3,530.15","2,757.31",40,IA,19,"138,433","22,195","136,977","16,890"
948 - SIGNS & SYMPTOMS W/O MCC,170182,MENORAH MEDICAL CENTER,5721 WEST 119TH STREET,OVERLAND PARK,KS,66209,MO - Kansas City,17,"26,819.11","4,655.23","2,915.35",40,KS,20,"118,714","29,476","117,297","24,395"
948 - SIGNS & SYMPTOMS W/O MCC,180132,LAKE CUMBERLAND REGIONAL HOSPITAL,"305 LANGDON STREET, P O BOX 620",SOMERSET,KY,42502,KY - Lexington,28,"17,191.46","4,332.25","3,450.82",40,KY,21,"160,136","47,577","167,401","38,585"
948 - SIGNS & SYMPTOMS W/O MCC,190164,BYRD REGIONAL HOSPITAL,1020 FERTITTA BLVD,LEESVILLE,LA,71446,LA - Alexandria,12,"17,687.66","3,599.50","2,755.83",40,LA,22,"157,150","66,874","178,096","53,227"
948 - SIGNS & SYMPTOMS W/O MCC,200050,MAINE COAST MEMORIAL HOSPITAL,50 UNION ST,ELLSWORTH,ME,4605,ME - Bangor,19,"10,342.21","4,278.78","3,412.84",40,ME,23,"46,375","10,982","48,145","7,532"
312 - SYNCOPE & COLLAPSE,210057,SHADY GROVE ADVENTIST HOSPITAL,9901 MEDICAL CTR DR,ROCKVILLE,MD,20850,DC - Washington,142,"5,542.50","5,226.26","4,188.11",40,MD,24,"229,283","43,452","240,337","33,030"
312 - SYNCOPE & COLLAPSE,220174,MERRIMACK VALLEY HOSPITAL,140 LINCOLN AVENUE,HAVERHILL,MA,1830,MA - Boston,31,"8,872.25","4,602.16","3,879.06",40,MA,25,"318,098","24,420","332,676","16,072"
312 - SYNCOPE & COLLAPSE,230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,DETROIT,MI,48201,MI - Detroit,56,"14,397.00","7,065.19","6,046.60",40,MI,26,"403,180","94,184","419,547","69,359"
312 - SYNCOPE & COLLAPSE,240207,FAIRVIEW RIDGES HOSPITAL,201 EAST NICOLLET BOULEVARD,BURNSVILLE,MN,55337,MN - Minneapolis,28,"15,505.64","4,642.28","3,505.07",40,MN,27,"217,254","36,302","222,793","25,112"
312 - SYNCOPE & COLLAPSE,250122,NATCHEZ COMMUNITY HOSPITAL/SWING BED,129 JEFFERSON DAVIS BLVD BOX 1203,NATCHEZ,MS,39120,MS - Jackson,32,"33,044.78","3,995.09","3,257.21",40,MS,28,"100,122","48,272","112,631","39,120"
312 - SYNCOPE & COLLAPSE,260200,SSM ST JOSEPH HOSPITAL WEST,100 MEDICAL PLAZA,LAKE SAINT LOUI,MO,63367,MO - St. Louis,50,"18,791.56","3,980.36","2,922.84",40,MO,29,"218,737","67,102","234,572","54,658"
312 - SYNCOPE & COLLAPSE,270049,ST VINCENT HEALTHCARE,1233 N 30TH ST,BILLINGS,MT,59107,MT - Billings,19,"11,331.00","4,799.42","3,368.10",40,MT,30,"36,441","13,874","36,595","10,462"
312 - SYNCOPE & COLLAPSE,280125,FAITH REGIONAL HEALTH SERVICES,2700 WEST NORFOLK AVE,NORFOLK,NE,68701,NE - Omaha,13,"12,516.76","5,029.00","4,250.23",40,NE,31,"76,596","17,300","77,384","14,400"
312 - SYNCOPE & COLLAPSE,290047,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,9300 WEST SUNSET,LAS VEGAS,NV,89148,NV - Las Vegas,15,"38,609.93","4,658.00","3,562.80",40,NV,32,"85,375","38,905","90,251","32,242"
312 - SYNCOPE & COLLAPSE,300023,EXETER HOSPITAL INC,5 ALUMNI DRIVE,EXETER,NH,3833,NH - Manchester,68,"12,836.01","4,552.85","3,240.92",40,NH,33,"53,219","10,318","54,275","8,319"
312 - SYNCOPE & COLLAPSE,310118,MEADOWLANDS HOSPITAL MEDICAL CENTER,55 MEADOWLANDS PKWY,SECAUCUS,NJ,7094,NJ - Hackensack,22,"50,621.86","5,393.59","4,630.50",40,NJ,34,"314,748","82,206","319,177","61,452"
312 - SYNCOPE & COLLAPSE,320065,LEA REGIONAL MEDICAL CENTER,5419 N LOVINGTON HIGHWAY,HOBBS,NM,88240,TX - Lubbock,13,"25,943.46","5,260.76","4,399.84",40,NM,35,"69,903","33,233","73,194","26,623"
948 - SIGNS & SYMPTOMS W/O MCC,330394,"UNITED HEALTH SERVICES HOSPITALS, INC",33-57 HARRISON STREET,JOHNSON CITY,NY,13790,NY - Binghamton,26,"11,803.42","4,467.34","3,820.42",40,NY,36,"816,499","159,157","863,164","115,886"
948 - SIGNS & SYMPTOMS W/O MCC,340159,PERSON MEMORIAL HOSPITAL,615 RIDGE RD,ROXBORO,NC,27573,NC - Durham,19,"8,922.15","4,784.36","3,779.94",40,NC,37,"343,969","122,072","370,747","97,720"
948 - SIGNS & SYMPTOMS W/O MCC,350015,MEDCENTER ONE,300 N 7TH ST,BISMARCK,ND,58506,ND - Bismarck,17,"8,138.23","4,468.88","3,671.70",40,ND,38,"39,054","6,446","36,083","5,303"
948 - SIGNS & SYMPTOMS W/O MCC,360276,ST ELIZABETH BOARDMAN HEALTH CENTER,8401 MARKET STREET,BOARDMAN,OH,44512,OH - Youngstown,17,"13,007.05","3,497.00","2,770.17",40,OH,39,"443,929","100,999","470,101","71,334"
948 - SIGNS & SYMPTOMS W/O MCC,370178,MEMORIAL HOSPITAL OF STILWELL,1401 WEST LOCUST,STILWELL,OK,74960,OK - Tulsa,12,"4,986.41","4,046.66","3,674.66",40,OK,40,"130,796","58,477","138,372","48,006"
948 - SIGNS & SYMPTOMS W/O MCC,380071,WILLAMETTE VALLEY MEDICAL CENTER,2700 SE STRATUS AVE.,MCMINNVILLE,OR,97128,OR - Portland,12,"15,939.75","4,449.16","3,513.83",40,OR,41,"140,917","40,669","144,999","33,178"
948 - SIGNS & SYMPTOMS W/O MCC,390290,HAHNEMANN UNIVERSITY HOSPITAL,230 NORTH BROAD STREET,PHILADELPHIA,PA,19102,PA - Philadelphia,32,"77,930.46","6,704.56","5,362.31",40,PA,42,"515,159","97,160","538,569","72,737"
948 - SIGNS & SYMPTOMS W/O MCC,410008,SOUTH COUNTY HOSPITAL INC,100 KENYON AVE,WAKEFIELD,RI,2879,RI - Providence,12,"13,186.91","3,843.50","3,091.50",40,RI,44,"47,961","9,536","51,249","7,877"
948 - SIGNS & SYMPTOMS W/O MCC,420091,CAROLINAS HOSPITAL SYSTEM,805 PAMPLICO HWY BOX 100550,FLORENCE,SC,29505,SC - Florence,37,"20,709.89","4,038.43","3,370.54",40,SC,45,"169,817","59,090","182,617","48,861"
948 - SIGNS & SYMPTOMS W/O MCC,430016,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,1325 S CLIFF AVE  PO BOX 5045,SIOUX FALLS,SD,57117,SD - Sioux Falls,23,"14,344.82","4,812.04","3,913.91",40,SD,46,"32,991","9,001","32,975","7,176"
948 - SIGNS & SYMPTOMS W/O MCC,440187,LIVINGSTON REGIONAL HOSPITAL,315 OAK ST BOX 550,LIVINGSTON,TN,38570,TN - Nashville,14,"11,793.64","3,885.00","3,142.21",40,TN,47,"232,905","72,655","254,420","54,176"
948 - SIGNS & SYMPTOMS W/O MCC,670056,SETON MEDICAL CENTER HAYS,6001 KYLE PKWY,KYLE,TX,78640,TX - Austin,19,"39,121.73","5,704.36","4,058.36",40,TX,48,"848,005","481,716","883,646","418,602"
948 - SIGNS & SYMPTOMS W/O MCC,460026,SEVIER VALLEY MEDICAL CENTER,1000 NORTH MAIN STREET,RICHFIELD,UT,84701,UT - Salt Lake City,17,"7,945.29","4,905.82","3,910.76",40,UT,49,"130,500","33,241","135,511","28,261"
948 - SIGNS & SYMPTOMS W/O MCC,470003,FLETCHER ALLEN HOSPITAL OF VERMONT,111 COLCHESTER AVE,BURLINGTON,VT,5401,VT - Burlington,29,"15,493.03","7,147.31","5,725.48",40,VT,50,"30,716","3,406","29,822","2,458"
948 - SIGNS & SYMPTOMS W/O MCC,490120,CHESAPEAKE REGIONAL MEDICAL CENTER,736 BATTLEFIELD BLVD NORTH,CHESAPEAKE,VA,23320,VA - Norfolk,33,"12,810.78","3,732.72","3,126.78",40,VA,51,"301,299","80,062","326,920","65,758"
948 - SIGNS & SYMPTOMS W/O MCC,500141,ST FRANCIS COMMUNITY HOSPITAL,34515 9TH AVENUE SOUTH,FEDERAL WAY,WA,98003,WA - Seattle,30,"22,777.33","5,914.33","3,472.26",40,WA,53,"251,603","76,275","257,711","59,789"
948 - SIGNS & SYMPTOMS W/O MCC,510070,RALEIGH GENERAL HOSPITAL,1710 HARPER ROAD,BECKLEY,WV,25801,WV - Charleston,24,"7,277.70","3,710.37","3,066.08",40,WV,54,"66,367","19,536","66,645","16,120"
948 - SIGNS & SYMPTOMS W/O MCC,520170,WHEATON FRANCISCAN INC - ELMBROOK MEMORIAL,19333 W NORTH AVE,BROOKFIELD,WI,53045,WI - Milwaukee,15,"15,669.20","3,885.20","3,141.20",40,WI,55,"230,742","47,132","239,958","34,092"
948 - SIGNS & SYMPTOMS W/O MCC,530002,CAMPBELL COUNTY MEMORIAL HOSPITAL,501 SOUTH BURMA AVENUE,GILLETTE,WY,82716,MT - Billings,12,"13,756.50","6,889.33","5,673.50",40,WY,56,"22,681","6,610","21,497","5,044"
312 - SYNCOPE & COLLAPSE,10150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,AL - Montgomery,15,"28,015.66","4,453.00","3,558.06",40,AL,1,"173,849","58,849","188,498","48,144"
948 - SIGNS & SYMPTOMS W/O MCC,20001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99519,AK - Anchorage,23,"26,237.04","5,944.73","5,309.08",40,AK,2,"26,917","12,275","25,692","8,152"
312 - SYNCOPE & COLLAPSE,30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,AZ - Mesa,21,"33,525.85","4,551.95","3,378.76",40,AZ,4,"233,098","92,136","245,929","72,752"
